〇	〔{〇}aa〕
㗤	〔口戚kq〕
㗥	〔口郭kg〕
㗦	〔口聊kl〕
㗧	〔口窒kv〕
㗨	〔.ky〕
㗩	〔口習kx〕
㗪	〔口紫kz〕
㗫	〔口祭kj〕
㗬	〔尚多ud〕
㗭	〔口悉kx〕
㗮	〔名庚mg〕
㗰	〔口從kc〕
㗱	〔口集kj〕
㗲	〔口畫kh〕
㗳	〔口答kd〕
㗴	〔口閒kx〕
㗵	〔口欻ki〕
㗶	〔口發kf〕
㗷	〔口贝kb〕
㗸	〔口亍ki〕
㗹	〔口心kx〕
㗺	〔口非kf〕
㗻	〔口過kg〕
㗼	〔口業ky〕
㗽	〔口鄉kx〕
㗾	〔口靴kx〕
㗿	〔.ke〕
㘀	〔.kj〕
㘁	〔.kg〕
㘂	〔口慈kc〕
㘃	〔口惹kr〕
㘄	〔口楞kl〕
㘅	〔口銜kx〕
㘆	〔口臺kt〕
㘇	〔口榮kr〕
㘈	〔口疑ky〕
㘉	〔口節kj〕
㘊	〔.ky〕
㘋	〔口賢kx〕
㘌	〔口劇kj〕
㘍	〔口戈kg〕
㘎	〔.kk〕
㘐	〔.kb〕
㘑	〔口隶kl〕
㘓	〔口闌kl〕
㘔	〔口賽ks〕
㘕	〔口藍kl〕
㘖	〔口頁ky〕
㘗	〔口瞿kq〕
㘘	〔.kl〕
㘙	〔口嚴ky〕
㘚	〔.kk〕
㘛	〔口龕kk〕
㘜	〔口讎ki〕
㘝	〔.wy〕
㘞	〔.wl〕
㘟	〔囗廾kc〕
㘠	〔.wb〕
㘡	〔.wj〕
㘢	〔.wg〕
㘣	〔.wy〕
㘤	〔.wy〕
㘥	〔.wy〕
㘦	〔土力tl〕
㘧	〔土予ty〕
㘨	〔土内tn〕
㘩	〔土比tb〕
㘪	〔土毛tm〕
㘫	〔土井tj〕
㘬	〔土勾tg〕
㘭	〔土幻th〕
㘮	〔土尺ti〕
㘯	〔土力tl〕
㘰	〔土斗td〕
㘱	〔土冉tr〕
㘲	〔土尻tk〕
㘳	〔土北tb〕
㘴	〔.tu〕
㘵	〔土布tb〕
㘶	〔土舛ti〕
㘷	〔土艾ta〕
㘸	〔土死ts〕
㘹	〔土此tc〕
㘺	〔土伐tf〕
㘻	〔土因ty〕
㘽	〔.tg〕
㘾	〔土宇ty〕
㘿	〔.tn〕
㙀	〔土究tj〕
㙁	〔土每tm〕
㙂	〔土兑td〕
㙃	〔土兵tb〕
㙄	〔土坒tb〕
㙅	〔土呆td〕
㙆	〔土宏th〕
㙇	〔.ti〕
㙈	〔土虎th〕
㙉	〔土典td〕
㙊	〔土長ti〕
㙋	〔土其tq〕
㙌	〔土肃ts〕
㙍	〔土叕tv〕
㙎	〔土威tw〕
㙏	〔土复tf〕
㙐	〔土耑td〕
㙑	〔土禹ty〕
㙒	〔田土tt〕〔土予ty〕
㙓	〔土垚ty〕
㙔	〔土韋tw〕
㙕	〔土胃tw〕
㙖	〔土禹ty〕
㙗	〔土畏tw〕
㙘	〔土要ty〕
㙙	〔土尨tm〕
㙚	〔土牛tn〕
㙛	〔.tf〕
㙜	〔土高tg〕
㙝	〔土脅tx〕
㙞	〔.tg〕
㙟	〔土朗tl〕
㙠	〔.ty〕
㙡	〔土從tc〕
㙢	〔.tm〕
㙣	〔土張tv〕
㙤	〔土乎th〕
㙥	〔土衮tg〕
㙦	〔土斜tx〕
㙧	〔土田tt〕
㙨	〔土幾tj〕
㙩	〔.tl〕
㙪	〔土壹ty〕
㙫	〔土集tj〕
㙬	〔.ty〕
㙭	〔土厥tj〕
㙮	〔土答td〕
㙯	〔.uy〕
㙰	〔土解tj〕
㙱	〔土號th〕
㙲	〔土雍ty〕
㙳	〔土感tg〕
㙴	〔土詹tv〕
㙵	〔.ti〕
㙶	〔亠堂wt〕
㙷	〔土㬎tx〕
㙸	〔土僕tp〕
㙹	〔土夢tm〕
㙺	〔土匱tk〕
㙻	〔土廛ti〕
㙼	〔.tl〕
㙽	〔.tb〕
㙾	〔土學tx〕
㙿	〔.tg〕
㚀	〔土戲tx〕
㚁	〔堯堯yy〕
㚂	〔土囊tn〕
㚃	〔.uq〕
㚄	〔.up〕
㚅	〔夂生wu〕
㚆	〔夂日wo〕〔亠夂ww〕
㚇	〔.vx〕
㚈	〔夕十xu〕
㚉	〔乃多nd〕
㚊	〔多亥dh〕
㚋	〔多周dv〕
㚌	〔多果dg〕
㚍	〔多貴dg〕
㚎	〔大凵dk〕
㚏	〔大廾dc〕
㚐	〔大大dd〕
㚑	〔.xd〕
㚒	〔.dl〕
㚓	〔大木dm〕〔.dp〕
㚔	〔.dr〕
㚕	〔大弗df〕
㚖	〔大白db〕
㚗	〔大且dq〕
㚘	〔夫夫ff〕
㚙	〔大加dj〕
㚚	〔大名dm〕
㚛	〔大旨dv〕
㚜	〔大或dh〕
㚝	〔大佳dj〕
㚞	〔大林dl〕
㚟	〔.di〕
㚠	〔大羔dg〕
㚡	〔奇奇qq〕
㚢	〔女亻nr〕
㚣	〔女女nn〕
㚤	〔女弋ny〕
㚥	〔女于ny〕
㚦	〔.nj〕
㚧	〔.ny〕
㚨	〔女卂nx〕
㚩	〔女冄nr〕
㚪	〔女毛nm〕
㚫	〔女及nj〕
㚬	〔女匀ny〕
㚭	〔女尤ny〕
㚮	〔女冗nr〕
㚯	〔女风nf〕
㚰	〔女丕np〕
㚱	〔女丘nq〕
㚲	〔女占nv〕
㚳	〔女加nj〕
㚴	〔女布nb〕
㚵	〔女冬nd〕
㚶	〔女𠂤nv〕
㚷	〔女尒ne〕
㚸	〔女司ns〕
㚹	〔女卯nm〕
㚺	〔女孕ny〕
㚻	〔女田nt〕
㚼	〔女田nt〕
㚽	〔女巧nq〕
㚾	〔女兄nx〕
㚿	〔女包nb〕
㛀	〔女刍ni〕
㛁	〔女平np〕
㛂	〔女巴nb〕
㛃	〔.nq〕
㛄	〔女衣ny〕
㛅	〔女耳ne〕
㛆	〔女朵nd〕
㛇	〔女庄nv〕
㛈	〔女考nk〕
㛉	〔女西nx〕
㛊	〔女朵nd〕
㛋	〔女心nx〕
㛌	〔女牟nm〕
㛍	〔女夾nj〕
㛎	〔女吕nl〕
㛏	〔女求nq〕
㛐	〔女更ng〕
㛑	〔.nc〕
㛒	〔女豆nd〕
㛓	〔女希nx〕
㛔	〔女丰nf〕
㛕	〔女邑ny〕
㛖	〔.nj〕
㛗	〔女坐nz〕
㛘	〔女孛nb〕
㛙	〔女辛nx〕
㛚	〔女甬ny〕
㛛	〔女身nu〕
㛜	〔女攸ny〕
㛝	〔女貝nb〕
㛞	〔女弄nn〕
㛟	〔女奂nh〕
㛠	〔女间nj〕
㛡	〔女完nw〕
㛢	〔女秀nx〕
㛣	〔女员ny〕
㛤	〔女丽nl〕
㛥	〔.nt〕
㛦	〔女林nl〕
㛧	〔女岩ny〕
㛨	〔女羌nq〕
㛩	〔女育ny〕
㛪	〔女奄ny〕
㛫	〔女易ny〕
㛬	〔.nl〕
㛭	〔女昔nx〕
㛮	〔.ns〕
㛯	〔女勉nm〕
㛰	〔女日no〕
㛱	〔女畏nw〕
㛲	〔女頁ny〕
㛳	〔女帝nd〕
㛴	〔.nn〕
㛵	〔.ni〕
㛶	〔女炭nt〕
㛷	〔女尤ny〕〔禾女hn〕
㛸	〔.nv〕
㛹	〔女便nb〕
㛺	〔女音ny〕
㛻	〔女奎nk〕
㛼	〔.ni〕
㛽	〔女米nm〕
㛾	〔女咸nx〕
㛿	〔女带nd〕
㜀	〔女相nx〕
㜁	〔女查ni〕
㜂	〔女封nf〕
㜃	〔女信nx〕
㜄	〔女風nf〕
㜅	〔女畜ni〕
㜆	〔女迷nm〕
㜇	〔女恚nh〕
㜈	〔女務nw〕
㜉	〔女邕ny〕
㜊	〔女展nv〕
㜋	〔女益ny〕
㜌	〔.un〕
㜍	〔女唐nt〕
㜎	〔女奚nx〕
㜏	〔女員ny〕
㜐	〔女豈nq〕
㜑	〔女浦np〕
㜒	〔女舁ny〕
㜓	〔.nd〕
㜔	〔女竞nj〕
㜕	〔女連nl〕
㜖	〔女曹nc〕
㜗	〔女參nc〕
㜘	〔.nc〕
㜙	〔女鹿nl〕
㜚	〔女宿ns〕
㜛	〔女軟nr〕
㜜	〔女敖na〕
㜝	〔女酉ny〕
㜞	〔女斬nv〕
㜟	〔女敢ng〕
㜠	〔女崔nc〕
㜡	〔女從nc〕
㜢	〔女婁nl〕
㜣	〔女然nr〕
㜤	〔.nq〕
㜥	〔女買nm〕
㜦	〔女尋nx〕
㜧	〔女厥nj〕
㜨	〔女犀nx〕
㜩	〔女奥na〕
㜪	〔女新nx〕
㜫	〔女微nw〕
㜬	〔女詹nv〕
㜭	〔女當nd〕
㜮	〔女監nj〕
㜯	〔女熙nx〕
㜰	〔女樂nl〕
㜱	〔女質nv〕
㜲	〔女嬴ny〕
㜳	〔.nh〕
㜴	〔女瞢nm〕
㜵	〔.nn〕
㜶	〔.ni〕
㜷	〔女彌nm〕
㜸	〔女薛nx〕
㜹	〔女瞿nq〕
㜺	〔女贊nz〕
㜻	〔女戀nl〕
㜼	〔女疊nd〕
㜽	〔.zi〕
㜾	〔子介zj〕
㜿	〔子予zy〕
㝀	〔子母zm〕
㝁	〔子旬zx〕
㝂	〔子折zv〕
㝃	〔子免zm〕
㝄	〔享屯xt〕
㝅	〔子殳zu〕〔土殳tu〕
㝆	〔子喜zx〕
㝇	〔享享xx〕
㝈	〔.lz〕
㝉	〔宀一ba〕
㝊	〔宀又by〕
㝋	〔宀了bl〕
㝌	〔宀久bj〕
㝍	〔宀与by〕
㝎	〔宀之bv〕
㝏	〔宀介bj〕
㝐	〔.bg〕
㝑	〔宀方bf〕
㝒	〔宀古bg〕
㝓	〔宀合bh〕
㝔	〔宀交bj〕
㝕	〔宀又by〕
㝖	〔宀多bd〕
㝗	〔宀良bl〕
㝘	〔宀言by〕
㝙	〔宀八bb〕
㝚	〔宀延by〕
㝛	〔宀口bk〕
㝜	〔宀昔bx〕
㝝	〔宀林bl〕
㝞	〔宀亞by〕
㝟	〔.vj〕
㝠	〔.bz〕
㝡	〔宀取bq〕
㝢	〔宀禹by〕
㝣	〔宀契bq〕
㝤	〔.bg〕
㝥	〔宀米bm〕
㝦	〔宀隽bj〕
㝧	〔安坐az〕
㝨	〔宀袁by〕
㝩	〔宀康bk〕
㝪	〔宀執bv〕
㝫	〔宀隆bl〕
㝬	〔害夫hf〕
㝭	〔宀惺bx〕
㝮	〔.bs〕
㝯	〔宀喬bq〕
㝰	〔.bm〕
㝱	〔宀夢bm〕
㝲	〔宀帚bv〕
㝴	〔寸元cy〕
㝵	〔寸旦cd〕
㝶	〔.cs〕
㝷	〔𫜹寸xc〕
㝸	〔小儿xe〕
