𠀀	hē
刃	rèn
刄	rèn
刅	chuāng
分	fēn fèn
切	qiē qiè
刈	yì
刉	jī
刊	kān
刋	qiàn
刌	cǔn
刍	chú
刎	wěn
刏	jī
刐	dǎn
刑	xíng
划	huá huà huai guò guǒ
刓	wán
刔	jué
刕	lí
刖	yuè
列	liè
刘	liú
则	zé
刚	gāng
创	chuàng chuāng
刜	fú
初	chū
刞	qù
刟	diāo
删	shān
刡	mǐn
刢	líng
刣	zhōng
判	pàn
別	bié biè
刦	jié
刧	jié
刨	páo bào
利	lì
刪	shān
别	bié biè
刬	chǎn chàn
刭	jǐng
刮	guā
刯	gēng
到	dào
刱	chuàng
刲	kuī
刳	kū
刴	duò
刵	èr
制	zhì
刷	shuā shuà
券	quàn xuàn
刹	chà shā
刺	cì cī
刻	kè
刼	jié
刽	guì
刾	cì
刿	guì
剀	kǎi
剁	duò
剂	jì
剃	tì
剄	jǐng
剅	lóu
剆	luǒ
則	zé
剈	yuān
剉	cuò
削	xiāo xuē
剋	kēi kè
剌	là lá
前	qián
剎	chà shā
剏	chuàng
剐	guǎ
剑	jiàn
剒	cuò
剓	lí
剔	tī
剕	fèi
剖	pōu
剗	chǎn chàn
剘	qí
剙	chuàng
剚	zì
剛	gāng
剜	wān
剝	bāo bō
剞	jī
剟	duō
剠	qíng
剡	yǎn shàn
剢	dū zhuó
剣	jiàn
剤	jì
剥	bāo bō
剦	yān
剧	jù
剨	huò
剩	shèng
剪	jiǎn
剫	duó
剬	zhì duān
剭	wū
剮	guǎ
副	fù pì
剰	shèng
剱	jiàn
割	gē
剳	dá zhá
剴	kǎi
創	chuàng chuāng
剶	chuán
剷	chǎn
剸	tuán zhuān
剹	lù jiū
剺	lí
剻	pēng
剼	shān
剽	piāo
剾	kōu
剿	jiǎo chāo
劀	guā
劁	qiāo
劂	jué
劃	huá huà
劄	zhā zhá
劅	zhuó
劆	lián
劇	jù
劈	pī pǐ
劉	liú
劊	guì
劋	jiǎo chāo
劌	guì
劍	jiàn
劎	jiàn
劏	tāng
劐	huō
劑	jì
劒	jiàn
劓	yì
劔	jiàn
劕	zhì
劖	chán
劗	zuān
劘	mó
劙	lí
劚	zhú
力	lì
劜	yà
劝	quàn
办	bàn
功	gōng
加	jiā
务	wù
劢	mài
劣	liè
劤	jìn jìng
劥	kēng
劦	xié liè
劧	zhǐ
动	dòng
助	zhù chú
努	nǔ
劫	jié
劬	qú
劭	shào
劮	yì
劯	zhǔ
劰	miǎo
励	lì
劲	jìn jìng
劳	láo
労	láo
劵	juàn
劶	kǒu
劷	yáng
劸	wā
効	xiào
劺	móu
劻	kuāng
劼	jié
劽	liè
劾	hé
势	shì
勀	kè
勁	jìn jìng
勂	gào
勃	bó bèi
勄	mǐn
勅	chì
勆	láng
勇	yǒng
勈	yǒng
勉	miǎn
勊	kè
勋	xūn
勌	juàn juān
勍	qíng
勎	lù
勏	bù
勐	měng
勑	chì
勒	lè lēi
勓	kài
勔	miǎn
動	dòng
勖	xù
勗	xù
勘	kān
務	wù
勚	yì
勛	xūn
勜	wěng yǎng
勝	shèng
勞	láo
募	mù
勠	lù
勡	piāo
勢	shì
勣	jì
勤	qín
勥	jiàng
勦	jiǎo chāo
勧	quàn
勨	xiàng
勩	yì
勪	qiāo
勫	fān
勬	juān
勭	tóng dòng
勮	jù
勯	dān
勰	xié
勱	mài
勲	xūn
勳	xūn
勴	lǜ
勵	lì
勶	chè
勷	ráng xiāng
勸	quàn
勹	bāo
勺	sháo
勻	yún
勼	jiū
勽	bào
勾	gōu gòu
勿	wù
匀	yún
匁	mangmi
匂	xiōng
匃	gài
匄	gài
包	bāo
匆	cōng
匇	yì
匈	xiōng
匉	pēng
匊	jū
匋	táo yáo
匌	gé
匍	pú
匎	è
匏	páo
匐	fú
匑	gōng
匒	dá
匓	jiù
匔	gōng
匕	bǐ
化	huà huā
北	běi bèi
匘	nǎo
匙	chí shi
匚	fāng
匛	jiù
匜	yí
匝	zā
匞	jiàng
匟	kàng
匠	jiàng
匡	kuāng
匢	hū
匣	xiá
匤	qū
匥	fán
匦	guǐ
匧	qiè
匨	zāng cáng
匩	kuāng
匪	fěi
匫	hū
匬	yǔ
匭	guǐ
匮	kuì guì
匯	huì
匰	dān
匱	kuì guì
匲	lián
匳	lián
匴	suǎn
匵	dú
匶	jiù
匷	jué
匸	xì
匹	pǐ
区	qū ōu
医	yī
匼	kē qià
匽	yǎn yàn
匾	biǎn
匿	nì
區	qū ōu
十	shí
卂	xùn
千	qiān
卄	niàn
卅	sà
卆	zú
升	shēng
午	wǔ
卉	huì
半	bàn
卋	shì
卌	xì
卍	wàn
华	huá huà huā
协	xié
卐	wàn
卑	bēi
卒	zú cù
卓	zhuó
協	xié
单	dān shàn chán
卖	mài
南	nán nā
単	dān
卙	jí
博	bó
卛	shuài lǜ
卜	bǔ bo
卝	guàn kuàng
卞	biàn
卟	bǔ
占	zhān zhàn
卡	kǎ qiǎ
卢	lú
卣	yǒu
卤	lǔ
卥	xī
卦	guà
卧	wò
卨	xiè
卩	jié
卪	jié
卫	wèi
卬	yǎng áng
卭	qióng
卮	zhī
卯	mǎo
印	yìn
危	wēi
卲	shào
即	jí
却	què
卵	luǎn
卶	chǐ
卷	juàn juǎn
卸	xiè
卹	xù
卺	jǐn
卻	què
卼	wù
卽	jí
卾	è
卿	qīng
厀	xī
厁	sān
厂	chǎng ān hàn
厃	wēi yán
厄	è
厅	tīng
历	lì
厇	zhé zhái
厈	hàn àn
厉	lì
厊	yǎ
压	yā yà
厌	yàn
厍	shè
厎	dǐ
厏	zhǎ zhǎi
厐	páng
厑	yá
厒	qiè
厓	yá
厔	zhì shī
厕	cè
厖	máng
厗	tí
厘	lí
厙	shè
厚	hòu
厛	tīng
厜	zuī
厝	cuò
厞	fèi
原	yuán
厠	cè
厡	yuán
厢	xiāng
厣	yǎn
厤	lì
厥	jué
厦	shà xià
厧	diān
厨	chú
厩	jiù
厪	jǐn
厫	áo
厬	guǐ
厭	yàn
厮	sī
厯	lì
厰	chǎng
厱	qiān lán
厲	lì
厳	yán
厴	yǎn
厵	yuán
厶	sī mǒu
厷	gōng hóng
厸	lín miǎo
厹	róu qiú
厺	qù
去	qù
厼	keum
厽	lěi
厾	dū
县	xiàn xuán
叀	zhuān
叁	sān
参	cān shēn cēn sān
參	cān shēn cēn sān
叄	cān shēn cēn sān
叅	cān shēn cēn sān
叆	ài
叇	dài
又	yòu
叉	chā chá chǎ
及	jí
友	yǒu
双	shuāng
反	fǎn
収	shōu
叏	guái
叐	bá
发	fā fà
叒	ruò
叓	lì
叔	shū
叕	zhuó yǐ lì jué
取	qǔ
受	shòu
变	biàn
叙	xù
叚	jiǎ
叛	pàn
叜	sǒu
叝	jí
叞	wèi yù
叟	sǒu
叠	dié
叡	ruì
叢	cóng
口	kǒu
古	gǔ
句	jù gōu
另	lìng
叧	guǎ
叨	tāo dāo
叩	kòu
只	zhī zhǐ
叫	jiào
召	zhào shào
叭	bā
叮	dīng
可	kě kè
台	tái tāi
叱	chì
史	shǐ
右	yòu
叴	qiú
叵	pǒ
叶	yè xié
号	hào háo
司	sī
叹	tàn
叺	chǐ
叻	lè
叼	diāo
叽	jī
叾	dug
叿	hōng hóng
吀	miē
吁	xū yù
吂	máng
吃	chī
各	gè gě
吅	xuān sòng
吆	yāo
吇	zǐ
合	hé gě
吉	jí
吊	diào
吋	dòu cùn
同	tóng tòng
名	míng
后	hòu
吏	lì
吐	tǔ tù
向	xiàng
吒	zhà zhā
吓	xià hè
吔	yē
吕	lǚ
吖	yā ā
吗	má mǎ ma
吘	ǒu
吙	huō
吚	yī
君	jūn
吜	chǒu
吝	lìn
吞	tūn
吟	yín
吠	fèi
吡	pǐ bǐ
吢	qìn
吣	qìn
吤	jiè gè
吥	bù
否	fǒu pǐ
吧	bā ba
吨	dūn
吩	fēn
吪	é huā
含	hán
听	tīng
吭	háng kēng
吮	shǔn
启	qǐ
吰	hóng
吱	zhī zī
吲	yǐn shěn
吳	wú
吴	wú
吵	chǎo chāo
吶	nà nè
吷	xuè chuò jué
吸	xī
吹	chuī
吺	dōu rú
吻	wěn
吼	hǒu
吽	hǒu hōng ōu
吾	wú yù
吿	gào
呀	yā ya
呁	jùn
呂	lǚ
呃	è
呄	gé
呅	wěn
呆	dāi
呇	qǐ
呈	chéng
呉	wú
告	gào
呋	fū
呌	jiào
呍	hōng
呎	chǐ
呏	shēng
呐	nà nè
呑	tūn tiān
呒	fǔ ḿ
呓	yì
呔	dāi tǎi
呕	ǒu ōu òu
呖	lì
呗	bei bài
员	yuán yún yùn
呙	wāi hé wǒ wā guǎ guō
呚	huá qì
呛	qiāng qiàng
呜	wū
呝	è
呞	shī
呟	juǎn
呠	pěn
呡	mǐn wěn
呢	ne ní
呣	ḿ m̀ móu
呤	líng
呥	rán
呦	yōu
呧	dǐ
周	zhōu
呩	shì
呪	zhòu
呫	tiè chè
呬	xì
呭	yì
呮	qì zhī
呯	píng
呰	zǐ cī
呱	guā gū guǎ
呲	zī cī
味	wèi
呴	xǔ hǒu gòu
呵	hē a kē
呶	náo
呷	xiā gā
呸	pēi
呹	yì
呺	xiāo háo
呻	shēn
呼	hū
命	mìng
呾	dá dàn
呿	qū
咀	jǔ zuǐ
咁	xián gān
咂	zā
咃	tuō
咄	duō
咅	pǒu
咆	páo
咇	bì
咈	fú
咉	yǎng
咊	hé hè
咋	zǎ zé zhā
和	hé hè huó huò hú
咍	hāi
咎	jiù
咏	yǒng
咐	fù
咑	dā
咒	zhòu
咓	wǎ
咔	kǎ
咕	gū
咖	kā gā
咗	zuo
咘	bù
咙	lóng
咚	dōng
咛	níng
咜	tuō
咝	sī
咞	xiàn xián
咟	huò
咠	qì
咡	èr
咢	è
咣	guāng
咤	zhà
咥	dié xī
咦	yí
咧	liě liē lié lie
咨	zī
咩	miē
咪	mī
咫	zhǐ
咬	yǎo
咭	jī xī qià
咮	zhòu
咯	lo kǎ luò gē
咰	shù xún
咱	zán zá zǎ
咲	xiào
咳	ké hāi
咴	huī
咵	kuā
咶	huài shì
咷	táo
咸	xián
咹	è àn
咺	xuǎn xuān
咻	xiū
咼	wāi hé wǒ wā guǎ guō
咽	yān yàn yè
咾	lǎo
咿	yī
哀	āi
品	pǐn
哂	shěn
哃	tóng
哄	hōng hǒng hòng
哅	xiōng
哆	duō
哇	wā wa
哈	hā hǎ hà
哉	zāi
哊	yòu
哋	diè dì
哌	pài
响	xiǎng
哎	āi
哏	gén hěn
哐	kuāng
哑	yǎ yā
哒	dā
哓	xiāo
哔	bì
哕	yuě huì
哖	nián
哗	huá huā
哘	xíng
哙	kuài
哚	duǒ
哛	ppun
哜	jì jiē zhāi
哝	nóng
哞	mōu
哟	yō yo
哠	hào
員	yuán yún yùn
哢	lòng
哣	pǒu
哤	máng
哥	gē
哦	ó ò é
哧	chī
哨	shào
哩	li lǐ lī
哪	nǎ něi na né
哫	zú
哬	hè
哭	kū
哮	xiào
哯	xiàn
哰	láo
哱	pò bā bō
哲	zhé
哳	zhā
哴	liàng láng
哵	bā
哶	miē
哷	liè lǜ
哸	suī
哹	fú
哺	bǔ
哻	hān
哼	hēng hng
哽	gěng
哾	chuò yuè
哿	gě jiā
唀	yòu
唁	yàn
唂	gū
唃	gū
唄	bei bài
唅	hán hàn
唆	suō
唇	chún
唈	yì
唉	āi ài
唊	jiá qiǎn
唋	tǔ tù
唌	dàn xián yán
唍	wǎn
唎	lì
唏	xī
唐	táng
唑	zuò
唒	qiú
唓	chē
唔	wù wú ńg ń
唕	zào
唖	yǎ
唗	dōu
唘	qǐ
唙	dí
唚	qìn
唛	mà
唜	mas
唝	gòng hǒng gǒng
唞	dóu
唟	keos
唠	lào láo
唡	liǎng
唢	suǒ
唣	zào
唤	huàn
唥	léng
唦	shā
唧	jī
唨	zǔ
唩	wō wěi
唪	fěng
唫	jìn yín
唬	hǔ xià
唭	qì
售	shòu
唯	wéi
唰	shuā
唱	chàng
唲	ér wā
唳	lì
唴	qiàng
唵	ǎn
唶	jiè zé jí
唷	yō
唸	niàn
唹	yū
唺	tiǎn
唻	lài
唼	shà
唽	xī
唾	tuò
唿	hū
啀	ái
啁	zhōu zhāo tiào
啂	gòu
啃	kěn
啄	zhuó
啅	zhuó zhào
商	shāng
啇	dí
啈	hèng
啉	lán lín
啊	ā á ǎ à a
啋	cǎi
啌	qiāng
啍	zhūn tūn xiāng duǐ
啎	wǔ
問	wèn
啐	cuì qi
啑	shà jié dié tì
啒	gǔ
啓	qǐ
啔	qǐ
啕	táo
啖	dàn
啗	dàn
啘	yuē wā
啙	zǐ cǐ
啚	bǐ tú
啛	cuì
啜	chuò chuài
啝	hé
啞	yǎ yā
啟	qǐ
啠	zhé
啡	fēi
啢	liǎng
啣	xián
啤	pí
啥	shá
啦	lā la
啧	zé
啨	qíng yīng
啩	guà
啪	pā
啫	zhě shì
啬	sè
啭	zhuàn
啮	niè
啯	guō
啰	luō luó luo
啱	yán
啲	dī
啳	quán
啴	tān chǎn tuō
啵	bo
啶	dìng
啷	lāng
啸	xiào
啹	jú
啺	táng
啻	chì
啼	tí
啽	ān án
啾	jiū
啿	dàn
喀	kā
喁	yóng yú
喂	wèi
喃	nán
善	shàn
喅	yù
喆	zhé
喇	lǎ
喈	jiē
喉	hóu
喊	hǎn
喋	dié zhá
喌	zhōu
喍	chái
喎	wāi
喏	nuò rě
喐	huò guó xù
喑	yīn
喒	zán zá zǎ
喓	yāo
喔	ō wō
喕	miǎn
喖	hú
喗	yǔn
喘	chuǎn
喙	huì
喚	huàn
喛	huàn yuán xuǎn hé
喜	xǐ
喝	hē hè yè
喞	jī
喟	kuì
喠	zhǒng chuáng
喡	wéi wèi
喢	shà
喣	xǔ
喤	huáng
喥	duó zhà
喦	yán
喧	xuān
喨	liàng
喩	yù
喪	sāng sàng
喫	chī
喬	qiáo jiāo
喭	yàn
單	dān shàn chán
喯	pèn bēn
喰	cān sūn qī
喱	lí
喲	yō yo
喳	zhā chā
喴	wēi
喵	miāo
営	yíng
喷	pēn pèn
喸	phos
喹	kuí
喺	xí
喻	yù
喼	jiē
喽	lóu lou
喾	kù
喿	zào qiāo
嗀	hù
嗁	tí
嗂	yáo
嗃	hè xiāo xiào hù
嗄	shà á
嗅	xiù
嗆	qiāng qiàng
嗇	sè
嗈	yōng
嗉	sù
嗊	gòng hǒng gǒng
嗋	xié
嗌	yì ài
嗍	suō
嗎	má mǎ ma
嗏	chā
嗐	hài
嗑	kē kè
嗒	tà dā
嗓	sǎng
嗔	chēn
嗕	rù
嗖	sōu
嗗	wā gǔ
嗘	jī
嗙	bēng pǎng
嗚	wū
嗛	xián qiàn qiè
嗜	shì
嗝	gé
嗞	zī
嗟	jiē
嗠	lào
嗡	wēng
嗢	wà
嗣	sì
嗤	chī
嗥	háo
嗦	suō
嗧	jiālún
嗨	hāi hēi
嗩	suǒ
嗪	qín
嗫	niè
嗬	hē
嗭	zi
嗮	sǎi
嗯en?	ǹg ńg ňg ǹ ń ň
嗰	gě
嗱	ná
嗲	diǎ
嗳	ǎi ài āi
嗴	qiāng
嗵	tōng
嗶	bì
嗷	áo
嗸	áo
嗹	lián
嗺	zuī suī
嗻	zhē zhè zhù zhe
嗼	mò
嗽	sòu
嗾	sǒu
嗿	tǎn
嘀	dí
嘁	qī
嘂	jiào
嘃	chōng
嘄	jiào dǎo
嘅	kǎi gě
嘆	tàn
嘇	shān càn
嘈	cáo
嘉	jiā
嘊	ái
嘋	xiào
嘌	piāo
嘍	lóu lou
嘎	gā gá gǎ
嘏	gǔ jiǎ
嘐	xiāo jiāo
嘑	hū
嘒	huì
嘓	guō
嘔	ǒu ōu òu
嘕	xiān
嘖	zé
嘗	cháng
嘘	xū shī
嘙	pó
嘚	dē dēi
嘛	má ma
嘜	mà
嘝	hú
嘞	lei lē
嘟	dū
嘠	gā gá gǎ
嘡	tāng
嘢	yě
嘣	bēng
嘤	yīng
嘥	sāi
嘦	jiào
嘧	mì
嘨	xiào
嘩	huá huā
嘪	mǎi
嘫	rán
嘬	zuō chuài
嘭	pēng
嘮	lào láo
嘯	xiào
嘰	jī
嘱	zhǔ
嘲	cháo zhāo
嘳	kuì
嘴	zuǐ
嘵	xiāo
嘶	sī
嘷	háo
嘸	fǔ ḿ
嘹	liáo
嘺	qiáo qiào
嘻	xī
嘼	chù xù shòu
嘽	tān chǎn
嘾	dàn tán
嘿	hēi mò
噀	xùn
噁	ě
噂	zūn
噃	fān bo
噄	chī
噅	huī
噆	zǎn
噇	chuáng
噈	cù zā hé
噉	dàn
噊	jué
噋	tūn kuò
噌	cēng chēng
噍	jiào
噎	yē
噏	xī
噐	qì
噑	háo
噒	lián
噓	xū shī
噔	dēng
噕	huī
噖	yín
噗	pū
噘	juē
噙	qín
噚	xún
噛	niè
噜	lū
噝	sī
噞	yǎn
噟	yīng
噠	dā
噡	zhān dān
噢	ō
噣	zhòu zhuó
噤	jìn
噥	nóng
噦	yuě huì
噧	xiè
器	qì
噩	è
噪	zào
噫	yī
噬	shì
噭	jiào qiào chī
噮	yuàn
噯	ǎi ài āi
噰	yōng yǒng
噱	jué xué
噲	kuài
噳	yǔ
噴	pēn pèn
噵	dào
噶	gá
噷	xīn hěn hèn
噸	dūn
噹	dāng
噺	xīn
噻	sāi
噼	pī
噽	pǐ
噾	yīn
噿	zuǐ
嚀	níng
嚁	dí
嚂	làn
嚃	tà
嚄	huò ǒ
嚅	rú
嚆	hāo
嚇	hè xià
嚈	yàn
嚉	duō
嚊	xiù pì
嚋	zhōu chóu
嚌	jì jiē zhāi
嚍	jìn
嚎	háo
嚏	tì
嚐	cháng
嚑	xūn
嚒	mē
嚓	cā chā
嚔	tì
嚕	lū
嚖	huì
嚗	bó pào bào
嚘	yōu
嚙	niè
嚚	yín
嚛	hù
嚜	mèi me mò
嚝	hōng
嚞	zhé
嚟	lí
嚠	liú
嚡	xié hái
嚢	náng
嚣	xiāo áo
嚤	mō
嚥	yàn
嚦	lì
嚧	lú
嚨	lóng
嚩	pó
嚪	dàn
嚫	chèn
嚬	pín
嚭	pǐ
嚮	xiàng
嚯	huò
嚰	mè
嚱	xī
嚲	duǒ
嚳	kù
嚴	yán
嚵	chán
嚶	yīng
嚷	rǎng rāng
嚸	diǎn dím
嚹	lá
嚺	tà
嚻	xiāo
嚼	jiáo jué jiào
嚽	chuò
嚾	huàn huān
嚿	huò
囀	zhuàn
囁	niè
囂	xiāo
囃	zá cà
囄	lí
囅	chǎn
囆	chài
囇	lì
囈	yì
囉	luō luó luo
囊	náng nāng
囋	zá zàn cān
囌	sū
囍	xǐ
囎	zèng
囏	jiān
囐	yàn zá niè
囑	zhǔ
囒	lán
囓	niè
囔	nāng
囕	ramo
囖	luó luō luo
囗	wéi guó
囘	huí
囙	yīn
囚	qiú
四	sì
囜	nín
囝	jiǎn nān
回	huí
囟	xìn
因	yīn
囡	nān
团	tuán
団	tuán
囤	dùn tún
囥	kàng
囦	yuān
囧	jiǒng
囨	piān
囩	yún
囪	cōng
囫	hú
囬	huí
园	yuán
囮	é
囯	guó
困	kùn
囱	cōng
囲	wéi tōng
図	tú
围	wéi
囵	lún
囶	guó
囷	qūn
囸	rì
囹	líng
固	gù
囻	guó
囼	tāi
国	guó
图	tú
囿	yòu
圀	guó
圁	yín
圂	hùn
圃	pǔ
圄	yǔ
圅	hán
圆	yuán
圇	lún
圈	quān juàn juān
圉	yǔ
圊	qīng
國	guó
圌	chuán chuí
圍	wéi
圎	yuán
圏	quān juàn juān
圐	kū
圑	pǔ
園	yuán
圓	yuán
圔	yà
圕	tuān
圖	tú
圗	tú
團	tuán
圙	lüè
圚	huì
圛	yì
圜	huán yuán
圝	luán
圞	luán
土	tǔ
圠	yà
圡	tǔ
圢	tǐng
圣	shèng
圤	pú
圥	lù
圦	kuài
圧	yā
在	zài
圩	wéi xū
圪	gē
圫	yù zhūn
圬	wū
圭	guī
圮	pǐ
圯	yí
地	dì de
圱	qiān sú
圲	qiān
圳	zhèn
圴	zhuó
圵	dàng
圶	qià
圷	xià
圸	shān
圹	kuàng
场	cháng chǎng
圻	qí yín
圼	niè
圽	mò
圾	jī
圿	jiá
址	zhǐ
坁	zhǐ zhì
坂	bǎn
坃	xūn
坄	yì
坅	qǐn
坆	méi fén
均	jūn
坈	rǒng kēng
坉	tún dùn
坊	fāng fáng
坋	bèn fèn
坌	bèn
坍	tān
坎	kǎn
坏	huài pēi pī péi
坐	zuò
坑	kēng
坒	bì
坓	jǐng
坔	dì làn
坕	jīng
坖	jì
块	kuài
坘	dǐ
坙	jīng
坚	jiān
坛	tán
坜	lì
坝	bà
坞	wù
坟	fén
坠	zhuì
坡	pō
坢	pǎn bàn
坣	táng
坤	kūn
坥	qū
坦	tǎn
坧	zhǐ
坨	tuó
坩	gān
坪	píng
坫	diàn
坬	guà
坭	ní
坮	tái
坯	pī
坰	jiōng
坱	yǎng
坲	fó
坳	ào
坴	lù
坵	qiū
坶	mù mǔ
坷	kē kě
坸	gòu
坹	xuè
坺	fá
坻	dǐ chí
坼	chè
坽	líng
坾	zhù
坿	fù
垀	hū
垁	zhì
垂	chuí
垃	lā
垄	lǒng
垅	lǒng
垆	lú
垇	ào
垈	dài
垉	páo
垊	mín
型	xíng
垌	dòng tóng
垍	jì
垎	hè
垏	lǜ
垐	cí
垑	chǐ
垒	lěi
垓	gāi
垔	yīn
垕	hòu
垖	duī
垗	zhào
垘	fú
垙	guāng
垚	yáo
垛	duǒ duò
垜	duǒ duò
垝	guǐ
垞	chá
垟	yáng
垠	yín
垡	fá
垢	gòu
垣	yuán
垤	dié
垥	xié
垦	kěn
垧	shǎng
垨	shǒu
垩	è
垪	bìng
垫	diàn
垬	hóng
垭	yā
垮	kuǎ
垯	dá
垰	kǎ
垱	dàng
垲	kǎi
垳	háng
垴	nǎo
垵	ǎn
垶	xīng
垷	xiàn
垸	yuàn huán
垹	bāng
垺	póu fú
垻	bà
垼	yì
垽	yìn
垾	hàn
垿	xù
埀	chuí
埁	cén
埂	gěng
埃	āi
埄	běng fēng
埅	dì fáng
埆	què jué
埇	yǒng
埈	jùn
埉	xiá jiā
埊	dì
埋	mái mán
埌	làng
埍	juǎn
城	chéng
埏	yán shān
埐	qín jīn
埑	zhé
埒	liè
埓	liè
埔	pǔ bù
埕	chéng
埖	huā
埗	bù
埘	shí
埙	xūn
埚	guō
埛	jiōng
埜	yě
埝	niàn
埞	dī
域	yù
埠	bù
埡	yà
埢	quán
埣	suì sù
埤	pí pì
埥	qīng zhēng
埦	wǎn wān
埧	jù
埨	lǔn
埩	zhēng chéng
埪	kōng
埫	chǒng shǎng
埬	dōng
埭	dài
埮	tán tàn
埯	ǎn
埰	cǎi cài
埱	chù tòu
埲	běng
埳	xiàn kǎn
埴	zhí
埵	duǒ
埶	yì shì
執	zhí
埸	yì
培	péi
基	jī
埻	zhǔn
埼	qí
埽	sào sǎo
埾	jù
埿	ní
堀	kū
堁	kè
堂	táng
堃	kūn
堄	nì
堅	jiān
堆	duī
堇	jīn
堈	gāng
堉	yù
堊	è
堋	péng bèng
堌	gù
堍	tù
堎	lèng
堏	fāng
堐	yá
堑	qiàn zàn jiàn
堒	kūn
堓	àn
堔	shēn
堕	duò huī
堖	nǎo
堗	tū
堘	chéng
堙	yīn
堚	huán
堛	bì
堜	liàn
堝	guō
堞	dié
堟	zhuàn
堠	hòu
堡	bǎo bǔ pù
堢	bǎo
堣	yú
堤	dī
堥	máo móu wǔ
堦	jiē
堧	ruán
堨	è ài yè
堩	gèng
堪	kān
堫	zōng
堬	yú
堭	huáng
堮	è
堯	yáo
堰	yàn
報	bào
堲	jí
堳	méi
場	cháng chǎng
堵	dǔ
堶	tuó
堷	yìn
堸	féng
堹	zhòng
堺	jiè
堻	jīn
堼	fēng
堽	gāng
堾	chuǎn chūn
堿	jiǎn
塀	píng
塁	lěi
塂	jiǎng
塃	huāng
塄	léng
塅	duàn
塆	wān
塇	xuān
塈	jì xì
塉	jí
塊	kuài
塋	yíng
塌	tā
塍	chéng
塎	yǒng
塏	kǎi
塐	sù
塑	sù
塒	shí
塓	mì
塔	tǎ
塕	wěng
塖	chéng
塗	tú
塘	táng
塙	què
塚	zhǒng
塛	lì
塜	péng
塝	bàng
塞	sāi sài sè
塟	zàng
塠	duī
塡	tián
塢	wù
塣	zhèng
塤	xūn
塥	gé
塦	zhèn
塧	ài
塨	gōng
塩	yán
塪	xiàn
填	tián zhèn
塬	yuán
塭	wēn
塮	xiè
塯	liù
塰	hǎi
塱	lǎng
塲	cháng chǎng
塳	péng
塴	bèng
塵	chén
塶	lù
塷	lǔ
塸	ōu qiū
塹	qiàn zàn jiàn
塺	méi
塻	mò
塼	zhuān tuán
塽	shuǎng
塾	shú
塿	lǒu
墀	chí
墁	màn
墂	biāo
境	jìng
墄	qī
墅	shù
墆	zhì dì
墇	zhàng
墈	kàn
墉	yōng
墊	diàn
墋	chěn
墌	zhǐ zhuó
墍	xì
墎	guō
墏	qiǎng
墐	jìn
墑	dì
墒	shāng
墓	mù
墔	cuī
墕	yàn
墖	tǎ
増	zēng
墘	qián
墙	qiáng
墚	liáng
墛	wèi
墜	zhuì
墝	qiāo
增	zēng
墟	xū
墠	shàn
墡	shàn
墢	fá
墣	pú
墤	kuài tuí
墥	tuǎn dǒng
墦	fán
墧	qiáo què
墨	mò
墩	dūn
墪	dūn
墫	zūn dūn
墬	dì
墭	shèng
墮	duò huī
墯	duò
墰	tán
墱	dèng
墲	wú
墳	fén
墴	huáng
墵	tán
墶	dā
墷	yè
墸	zhù
墹	jiàn
墺	ào
墻	qiáng
墼	jī
墽	qiāo áo
墾	kěn
墿	yì tú
壀	pí
壁	bì
壂	diàn
壃	jiāng
壄	yě
壅	yōng
壆	xué bó jué
壇	tán
壈	lǎn
壉	jù
壊	huài
壋	dàng
壌	rǎng
壍	qiàn
壎	xūn
壏	xiàn làn
壐	xǐ
壑	hè
壒	ài
壓	yā yà
壔	dǎo
壕	háo
壖	ruán
壗	jìn
壘	lěi
壙	kuàng
壚	lú
壛	yán
壜	tán
壝	wéi
壞	huài
壟	lǒng
壠	lǒng
壡	ruǐ
壢	lì
壣	lín
壤	rǎng
壥	chán
壦	xūn
壧	yán
壨	lěi
壩	bà
壪	wān
士	shì
壬	rén
壭	san
壮	zhuàng
壯	zhuàng
声	shēng
壱	yī
売	mài
壳	ké qiào
壴	zhù
壵	zhuàng
壶	hú
壷	hú
壸	kǔn
壹	yī
壺	hú
壻	xù
壼	kǔn
壽	shòu
壾	mǎng
壿	cún dun
夀	shòu
夁	yī
夂	zhǐ zhōng
夃	gǔ yíng
处	chǔ chù
夅	jiàng xiáng
夆	féng fēng páng
备	bèi
夈	zhāi
変	biàn
夊	suī
夋	qūn
夌	líng
复	fù
夎	cuò
夏	xià
夐	xiòng xuàn
夑	xiè
夒	náo
夓	xià
夔	kuí
夕	xī
外	wài
夗	yuàn wǎn wān yuān
夘	mǎo wǎn
夙	sù
多	duō
夛	duō
夜	yè
夝	qíng
夞	oes
够	gòu
夠	gòu
夡	qì
夢	mèng
夣	mèng
夤	yín
夥	huǒ
夦	chěn
大	dà dài tài
夨	cè
天	tiān
太	tài
夫	fū fú
夬	guài
夭	yāo
央	yāng
夯	hāng bèn
夰	gǎo
失	shī
夲	tāo běn
夳	tài
头	tóu tou
夵	yǎn tāo
夶	bǐ
夷	yí
夸	kuā kuà
夹	jiā jiá gā
夺	duó
夻	huà
夼	kuǎng
夽	yǔn
夾	jiā jiá gā xiá
夿	bā
奀	ēn
奁	lián
奂	huàn
奃	dī tì
奄	yǎn yān
奅	pào
奆	juàn
奇	qí jī
奈	nài
奉	fèng
奊	xié
奋	fèn
奌	diǎn
奍	quān juàn
奎	kuí
奏	zòu
