𠀀	hē
𠢢	yǒu
𠢣	diàn
𠢤	jué
𠢥	bèi
𠢩	yǎo
𠢪	piē
𠢱	jìn
𠢲	kǎi xiè
𠢳	sè
𠢴	yǎng
𠢵	jìn
𠢹	kè
𠣄	chān
𠣇	niǎn
𠣉	wàn
𠣊	lǜ
𠣐	yún
𠣑	yāo
𠣒	bāo
𠣕	jūn
𠣖	xuán
𠣘	zhōu
𠣠	kuì
𠣡	fèng
𠣪	qú
𠣫	shào
𠣬	sǔn
𠣰	dū
𠣲	kuǎi
𠣳	pào
𠣺	bào
𠣾	fù
𠣿	jiù
𠤀	rán
𠤄	jū
𠤊	qióng
𠤍	zhōu
𠤎	huà
𠤏	bǎo
𠤕	yí xián
𠤗	yí
𠤘	yí yǐ
𠤝	mào
𠤦	ruǎn rú
𠤫	cí
𠤮	hán
𠤰	cóng xuán
𠤴	xì
𠤹	quán
𠤺	tiáo
𠤼	diào
𠤾	hán
𠥇	yě
𠥊	jī
𠥍	ē
𠥎	wéi
𠥐	cāng
𠥑	diào
𠥓	fāng
𠥕	è
𠥖	dì
𠥘	suǎn
𠥙	quán
𠥜	è
𠥝	ōu ǒu
𠥞	xuán
𠥢	wǔ
𠥦	yì
𠥧	bēi
𠥨	móu
𠥩	jī
𠥪	tāo
𠥫	biān
𠥬	jiù
𠥰	hū
𠥴	hán gān
𠥿	shí
𠦃	sà
𠦈	bì
𠦊	hán
𠦋	jìng
𠦎	qìn
𠦏	cuó
𠦐	cì
𠦒	bān
𠦗	duī
𠦜	xì shù
𠦡	xìng
𠦧	zhī
𠦨	luàn
𠦪	hū
𠦫	jí
𠦬	guāi
𠦲	pāng
𠧀	zhū
𠧅	bǐ
𠧇	yú
𠧒	qǐ
𠧕	hé
𠧖	chǔ
𠧙	shào
𠧚	chì
𠧛	bó
𠧞	zhào
𠧟	réng nǎi
𠧠	yóu
𠧤	nǎi
𠧩	huǐ huì
𠧪	tiáo yǒu
𠧫	bǎn
𠧰	xū
𠧴	yóu yòu
𠧵	chì
𠧿	héng
𠨃	wài
𠨆	xiè
𠨊	jué
𠨌	suī
𠨍	qīng
𠨎	zhuàn
𠨐	yǎng
𠨒	bì
𠨕	jì
𠨘	bì
𠨚	xī
𠨠	jí
𠨢	jùn
𠨥	liáo
𠨦	yōu
𠨭	jú
𠨲	yuè
𠨵	bàng
𠨸	pí
𠨻	zè
𠨾	yì
𠨿	dǐ
𠩀	jú
𠩂	qiè
𠩄	suǒ
𠩆	cì
𠩈	zhù
𠩉	yuè jú
𠩏	jiāo
𠩔	shí
𠩕	sī
𠩗	yí
𠩘	xiá
𠩠	yuán
𠩥	guó
𠩧	kè
𠩪	cuì
𠩫	yì
𠩵	lì
𠩷	diǎn
𠩺	xī chí
𠩿	bì
𠪂	biǎn
𠪃	méi
𠪄	lì
𠪇	sǒu
𠪐	liú
𠪑	guì
𠪒	kè
𠪗	yí
𠪘	yín ǎn kǎn
𠪙	xǐ
𠪚	yín ǎn kǎn
𠪟	kè
𠪢	qīn
𠪣	shè
𠪧	wǒ
𠪮	pì
𠪱	lì
𠪲	jǐn
𠪳	hǔ
𠪶	yuè
𠪷	hóng
𠪺	lì
𠪻	fù
𠫃	jué
𠫄	xiān
𠫉	diān
𠫌	lì
𠫎	chū
𠫐	yuán
𠫒	yuán
𠫓	tū
𠫘	jiān
𠫛	bǎi
𠫜	dì
𠫝	zhǎng
𠫣	yù
𠫤	lìn
𠫨	duì
𠫭	cān
𠫮	tú
𠫵	cān
𠫶	tān
𠫷	jí
𠫸	qí zhāi
𠫹	shàn
𠫺	nián shì
𠬆	guàn
𠬈	bǐ
𠬋	xīng nián
𠬓	zhěn
𠬙	sā
𠬛	mò
𠬜	pān
𠬝	fú
𠬞	gǒng
𠬢	tāo
𠬣	bàng
𠬪	biào
𠬬	xī
𠬮	jié
𠬶	jìn
𠬸	mò
𠬾	qiān
𠭈	sì
𠭉	jǐng
𠭋	chǐ
𠭖	gǎn
𠭗	jǐng
𠭘	jǐng
𠭙	shēn
𠭥	suì
𠭯	zhā
𠭰	lí
𠭴	zhuō
𠭹	biàn
𠭿	tún
𠮃	bì
𠮆	fèi
𠮊	dé
𠮌	zhú
𠮑	jū
𠮙	yǐ
𠮜	yà yīn
𠮟	chì
𠮠	guǎ bǎi
𠮡	zhǐ
𠮦	zhào
𠮨	réng
𠮫	yōu
𠮭	bó
𠮯	jǐ
